I,slug,views,revenue,rpm,cpm,viewability,fillRate,impressionsPerPageview
62,/article/the-acolyte-first-trailer,3539,69.42,19.61,1.98,0.65,0.94,9.87
63,/article/what-is-harry-crosby-afraid-of-in-masters-of-the-air,3526,112.83,32.0,1.58,0.66,0.87,20.14
64,/article/buck-leave-bucky-behind-masters-of-the-air,3493,77.07,22.06,1.64,0.65,0.88,13.37
65,/article/is-folsom-coming-back-csi-vegas,3486,45.16,12.95,1.21,0.75,0.88,10.69
66,/article/how-invincible-gets-blue-suit,3476,62.06,17.85,1.83,0.67,0.93,9.72
67,/article/is-prince-henry-evil-damsel,3452,54.37,15.75,1.47,0.64,0.92,10.64
68,/article/jack-dunphy-forgive-truman-capote,3446,49.88,14.47,1.51,0.74,0.9,9.56
69,/article/ahsoka-c-3po-actor-deleted-alec-guinness-reference,3441,54.17,15.74,1.65,0.64,0.94,9.54
70,/article/gina-carano-controversial-mandalorian-firing,3417,53.77,15.73,1.57,0.71,0.89,10.01
71,/article/is-magneto-a-good-guy-x-men-97,3402,53.33,15.67,1.69,0.74,0.91,9.25
72,/article/grimes-68-the-ones-who-live,3400,79.85,23.48,1.37,0.68,0.88,17.11
73,/article/did-truman-capote-want-to-be-cremated,3395,41.67,12.27,1.34,0.73,0.88,9.14
74,/article/how-allen-the-alien-survives-invincible,3386,66.07,19.51,1.73,0.66,0.91,11.27
75,/article/what-happened-to-zac-money-sistas,3386,69.49,20.52,1.68,0.64,0.95,12.16
76,/article/joker-2-jukebox-musical-fan-reactions,3380,80.79,23.9,1.94,0.69,0.91,12.28
77,/article/why-did-magneto-cry-xmen-97,3364,63.28,18.81,1.86,0.71,0.92,10.06
78,/article/do-mark-and-amber-stay-together-invincible-comics,3358,56.07,16.69,1.69,0.72,0.92,9.84
79,/article/hemlock-clones-crosshair-the-bad-batch,3357,65.06,19.38,1.76,0.7,0.91,11.0
80,/article/is-marlon-coming-back-death-in-paradise,3353,56.77,16.93,1.23,0.72,0.86,13.67
81,/article/toranaga-betrayal-shogun,3340,78.28,23.43,1.43,0.66,0.91,16.36
82,/article/who-called-jo-mamma-constellation,3334,62.86,18.85,1.9,0.74,0.93,9.89
83,/article/who-is-madison-hu-night-shift,3332,57.13,17.14,1.6,0.63,0.93,10.65
84,/article/do-halina-and-adam-end-up-together,3327,52.23,15.7,1.73,0.75,0.91,9.06
85,/article/does-allen-the-alien-have-viltrumite-dna,3320,106.23,31.99,1.66,0.65,0.9,19.21
86,/article/the-bad-batch-s3-is-clone-x-tech-theory,3295,65.79,19.96,1.57,0.7,0.89,12.65
87,/article/anthony-mackie-candid-captain-america-brave-new-world,3287,106.22,32.31,1.79,0.67,0.89,17.95
88,/article/wonderful-world-k-drama-villain,3262,55.3,16.95,1.37,0.72,0.9,12.29
89,/article/ricky-stanicky-trailer-music,3253,51.21,15.74,1.57,0.71,0.94,10.02
90,/article/wonderful-world-kdrama-manhwa,3236,52.95,16.36,1.53,0.71,0.92,10.64
91,/article/blackthorne-rabbit-stew,3219,65.47,20.33,1.85,0.69,0.93,10.98
92,/article/apothecary-diaries-characters,3160,30.75,9.73,1.32,0.59,0.76,7.34
93,/article/why-dragon-needs-three-princesses-in-netflix-damsel,3126,58.27,18.64,1.65,0.64,0.93,11.28
94,/article/what-happened-to-nat-the-ones-who-live,3117,57.62,18.48,1.43,0.7,0.9,12.9
95,/article/jake-gyllenhaal-losing-batman-begins-role,3082,59.73,19.38,1.74,0.69,0.9,11.08
96,/article/what-is-the-dx3906-in-the-3-body-problem,3035,57.36,18.9,1.66,0.72,0.9,11.38
97,/article/star-wars-return-skywalker-saga-films-theaters,3010,56.85,18.88,1.91,0.67,0.92,9.85
98,/article/why-is-ricky-stanicky-rated-r,2985,47.18,15.8,1.27,0.71,0.9,12.35
99,/article/nicolas-cage-spider-man-noir-live-action-series-casting-rumor,2957,50.86,17.2,1.63,0.65,0.9,10.5
100,/article/is-zhen-good-or-bad-kung-fu-panda-4,2951,51.78,17.54,1.67,0.66,0.92,10.48
101,/article/why-did-falin-become-a-chimera-delicious-in-dungeon,2920,28.76,9.85,1.15,0.71,0.77,8.54
102,/article/x-men-97-actor-hints-major-twist,2920,68.91,23.6,1.88,0.67,0.9,12.49
103,/article/who-are-mash-parents-mashle,2915,18.06,6.19,1.03,0.67,0.57,5.96
104,/article/countdown-reaches-0-3-body-problem,2901,64.64,22.28,1.84,0.71,0.91,12.06
105,/article/the-penguin-teaser-trailer,2879,61.55,21.37,1.83,0.7,0.91,11.64
106,/article/who-is-usami-jujutsu-kaisen-fan-theories-explored,2864,13.25,4.62,1.02,0.62,0.74,4.52
107,/article/why-anissa-cant-kill-invincible,2851,48.88,17.14,1.33,0.71,0.85,12.87
108,/article/whose-side-melody-on-ghostbusters,2835,42.28,14.91,1.62,0.71,0.92,9.2
109,/article/james-marsden-rumored-deadpool-and-wolverine-cameo,2831,44.74,15.8,1.57,0.69,0.89,10.05
110,/article/kung-fu-panda-4-mr-beast,2827,53.55,18.94,1.56,0.62,0.93,12.12
111,/article/3-body-problem-music,2826,65.74,23.26,1.8,0.67,0.91,12.86
112,/article/anthony-mackie-lack-of-creative-freedom-mcu,2810,50.92,18.12,1.9,0.68,0.91,9.49
113,/article/omni-man-baby-name-invincible,2807,54.07,19.26,1.95,0.73,0.93,9.84
114,/article/marlo-kelly-age,2802,61.23,21.85,1.67,0.65,0.91,13.07
115,/article/michonne-alias-the-ones-who-live,2800,53.39,19.06,1.62,0.63,0.9,11.74
116,/article/is-anissa-on-invincibles-side,2754,70.92,25.75,1.73,0.71,0.89,14.83
117,/article/what-to-watch-after-binging-netflixs-3-body-problem,2749,62.81,22.84,1.74,0.71,0.91,13.08
118,/article/jake-lloyd-mental-health-struggles,2747,53.5,19.47,1.52,0.68,0.92,12.79
119,/article/how-atom-eve-survives-sequids-invincible,2737,48.94,17.88,1.65,0.69,0.9,10.81
120,/article/x-men-97-producer-hints-crossover-90s-marvel-shows,2733,76.92,28.14,1.89,0.66,0.89,14.87
121,/article/spider-verse-animated-short-youtube,2715,63.57,23.41,1.91,0.65,0.89,12.21
122,/article/florence-pugh-bts-video-thunderbolts,2714,44.7,16.47,1.74,0.72,0.91,9.44
123,/article/eyes-of-wakanda-mcu-canon-brad-winderbaum,2705,51.57,19.06,2.0,0.68,0.91,9.51
124,/article/the-ones-who-live-jadis-haircut,2689,60.78,22.6,1.49,0.66,0.88,15.13
125,/article/lady-kiku-john-blackthorne-shogun,2684,57.31,21.35,1.41,0.72,0.89,15.11
126,/article/donald-cecil-contract-invincible,2683,52.22,19.46,1.8,0.69,0.9,10.8
127,/article/buck-and-bucky-fight-masters-of-the-air,2675,41.84,15.64,1.57,0.73,0.93,9.96
128,/article/grisaia-phantom-trigger-game-confirms-new-2024-anime,2665,57.64,21.63,1.87,0.71,0.91,11.55
129,/article/who-saved-higan-ninja-kamui-episode-5-ending-explained,2663,17.26,6.48,1.02,0.7,0.66,6.32
130,/article/is-rick-sheridan-a-villain-invincible,2655,62.57,23.56,1.71,0.71,0.89,13.75
131,/article/doctor-who-has-a-budget-in-new-disney-series-trailer,2655,47.75,17.98,2.13,0.67,0.93,8.43
132,/article/rick-grimes-anxiety-attack,2622,50.92,19.42,1.42,0.71,0.87,13.62
133,/article/best-yuri-anime-on-crunchyroll,2619,48.12,18.37,1.15,0.58,0.88,15.86
134,/article/ewan-mcgregor-hopeful-star-wars-return,2570,34.3,13.34,1.71,0.7,0.9,7.78
135,/article/why-blackthorne-has-a-consort-in-shogun,2549,50.41,19.77,1.63,0.7,0.91,12.09
136,/article/iron-fist-finn-jones-seemingly-teases-mcu-return,2547,54.81,21.52,1.79,0.66,0.88,12.01
137,/article/what-is-the-iwi-prophecy,2539,40.75,16.05,1.81,0.71,0.93,8.84
138,/article/who-is-adam-rosenfeld-buying-beverly-hills,2516,42.29,16.81,1.33,0.61,0.9,12.54
139,/article/what-happened-to-shimo-crystal,2470,42.47,17.19,1.81,0.72,0.9,9.45
140,/article/why-did-finbar-kill-curtis-land-of-saints-and-sinners,2458,29.85,12.14,1.53,0.76,0.9,7.9
141,/article/kirsten-dunst-miserable-filming-spider-man-kiss-scene,2448,89.07,36.38,1.61,0.66,0.87,22.47
142,/article/godzilla-pink-light-godzilla-x-kong-new-empire,2430,61.32,25.23,1.78,0.69,0.9,14.17
143,/article/the-batman-not-plagiarized-us-judge-rules,2409,45.35,18.82,1.63,0.71,0.89,11.51
144,/article/x-men-97-original-voice-actors-auditioned-reprise-roles,2400,78.48,32.7,1.65,0.65,0.87,19.7
145,/article/is-lady-fuji-dead-shogun,2356,52.27,22.18,1.3,0.7,0.85,16.95
146,/article/can-rick-grimes-drive-manual,2240,34.46,15.38,1.59,0.71,0.91,9.63
147,/article/top-15-most-graphic-sex-moment-in-marvel-comics,2219,7.76,3.5,0.52,0.69,0.39,6.63
148,/article/why-fuji-kill-uejirou-shogun,2196,29.86,13.6,1.45,0.76,0.91,9.31
149,/article/lindsay-lohan-reportedly-in-talks-mcu,2195,30.54,13.91,1.72,0.68,0.92,8.04
150,/article/is-emma-aska-ninja-kamui-theories-predictions,2192,12.14,5.53,1.06,0.7,0.66,5.19
151,/article/the-acolyte-showrunner-focus-sith,2183,47.98,21.97,1.84,0.66,0.92,11.89
152,/article/michonne-ramona-the-pest,2172,35.33,16.26,1.63,0.68,0.92,9.97
153,/article/2-corinthians-1114-immaculate-movie,2150,31.84,14.81,1.56,0.74,0.91,9.45
154,/article/teen-titans-live-action-movie-development-dc-studios,2148,45.46,21.16,1.79,0.67,0.9,11.79
155,/article/pearl-crm-the-ones-who-live,2115,25.84,12.22,1.34,0.72,0.89,9.08
156,/article/invincible-season-3-confirmed,2110,37.58,17.81,1.66,0.68,0.91,10.7
157,/article/paul-rudd-disappointing-update-mcu-return,2097,45.8,21.84,1.83,0.65,0.91,11.92
158,/article/foolish-angel-dances-with-the-devil-season-2-release-date-news,2085,16.19,7.76,1.4,0.59,0.74,5.51
159,/article/benedict-wong-upcoming-mcu-return,2078,34.74,16.71,1.92,0.64,0.92,8.68
160,/article/liam-neeson-shoots-down-star-wars-return,2065,38.27,18.53,1.74,0.69,0.91,10.59
161,/article/what-blackthorne-cannons-are-for-in-shogun,2064,27.6,13.37,1.44,0.74,0.89,9.25
162,/article/x-men-97-major-marvel-cameos,2055,41.32,20.11,1.79,0.67,0.92,11.17
163,/article/how-did-buntaro-survive-shogun,2052,32.02,15.6,1.65,0.74,0.92,9.45
164,/article/a-sign-of-affection-season-2-release-date-news,2009,20.29,10.1,1.54,0.61,0.88,6.54
165,/article/sydney-sweeney-reason-joining-madame-web,1991,37.68,18.92,1.85,0.65,0.92,10.22
166,/article/dune-part-2-is-lady-jessica-evil,1943,32.54,16.74,1.12,0.66,0.88,14.88
167,/article/will-there-be-chained-soldier-season-2-release-date-news-predictions,1935,13.3,6.87,1.31,0.58,0.67,5.24
168,/article/the-bear-what-does-matae-mean,1900,22.82,12.01,1.44,0.66,0.96,8.32
169,/article/x-men-97-debut-impressive-viewership-record,1871,38.55,20.6,2.14,0.65,0.92,9.6
170,/article/courtesan-teacup-shogun,1839,37.25,20.25,1.44,0.7,0.9,14.03
171,/article/pirates-of-the-caribbean-producer-next-movie-reboot,1729,24.42,14.12,1.85,0.67,0.93,7.62
172,/article/best-r-rated-anime,1702,4.47,2.62,0.58,0.53,0.44,4.46
173,/article/tom-hollands-spider-man-will-let-peter-parker-fade-away/,1676,17.87,10.66,1.36,0.56,0.97,7.83
174,/article/ella-walsh-masters-of-the-air,1653,42.42,25.66,1.4,0.65,0.85,18.24
175,/article/where-is-bolivar-trask-x-men-97,1632,26.97,16.52,1.72,0.72,0.93,9.59
176,/article/the-batman-part-ii-report-boyd-holbrook-harvey-dent,1608,31.69,19.71,1.81,0.64,0.88,10.85
177,/article/best-harem-anime-on-crunchyroll,1532,39.02,25.47,1.08,0.61,0.88,23.49
178,/article/stalag-luft-iii-masters-of-the-air,1527,22.75,14.9,1.35,0.69,0.88,10.99
179,/article/scarlett-johansson-new-jurassic-world-movie,1526,23.49,15.39,1.83,0.7,0.9,8.39
180,/article/x-men-97-episode-3-storm-fate-forge,1523,28.78,18.9,2.05,0.67,0.92,9.17
181,/article/the-acolyte-showrunner-focus-sith/,1520,18.04,11.87,1.43,0.58,0.97,8.26
182,/article/the-best-moments-from-the-frieren-manga-ranked,1512,29.91,19.78,1.82,0.68,0.87,10.82
183,/article/red-stone-jean-grey-forehead,1512,26.45,17.49,1.95,0.73,0.93,8.95
184,/article/joker-2-jukebox-musical-15-cover-songs,1512,36.88,24.39,1.94,0.67,0.91,12.53
