"Task ID","Task Name","Assignee","Due Date","Priority","CMS LINK (url)","Retime frequency (drop down)","Status","Genre of Content (labels)"
"862k46d6w","EA Sports FC - best RW in Career Mode","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;45d42341-5102-4592-ba4d-f4eb1fe6cfcf","","published",""
"862k46d4f","EA Sports FC career mode - best wonderkids","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;8736a2a7-b185-4fe8-8648-7ce21d6d43c5","","published",""
"862k46d6m","EA Sports FC - best CMs in Career Mode","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;54dcaf66-e107-4fa6-9c49-e4026c34749a%2Ctemplate%3Darticle","","published",""
"862k79d8q","EA FC - How to win the Balon D'Or","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;9e34cc06-4486-403d-902f-32f1313f2e6a%2Ctemplate%3Darticle","","published",""
"862k46d6r","EA Sports FC - Best Strikers in Career Mode","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;d6d668fb-13f0-4398-b9d6-fd712f240b6d%2Ctemplate%3Darticle","","published",""
"862k46d75","EA Sports FC - Best AM","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;4afb557a-4160-4485-b2a3-7c3cc311bc2b","","published",""
"862k9jrh5","3 new teams to use in Career Mode","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/articles;byAuthor;984c0737-2d67-40fb-bbdc-d9cc9a8288b0;e5eba19e-e287-4ae8-b894-83087bf05427","","published",""
"862k46d5z","EA Sports FC - best LBs","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;b1b1c306-1309-45ec-a26d-5fac65bd2609","","published",""
"862k46d72","EA Sports FC - Best LW in Career Mode","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;1dec856c-94a3-4f8c-8b35-09b40cc99921%2Ctemplate%3Darticle","","published",""
"862k46d7y","EA Sports FC - Best DMs in Career Mode","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mypublished;9cc4684a-ef76-4e52-82cf-51f5a35dea74","","published",""
"862k46d6b","EA Sports FC - best centre backs","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;8c09235c-87d7-422b-ade9-026f8b99c309","","published",""
"861n69ufr","EA Sports FC - best RM / LM for 3-5-2 in Career Mode","[Riccardo Martone]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;05a2c3ac-f51e-484d-b094-4306c10d906a%2Ctemplate%3Darticle","","published",""
