"Task ID","Task Name","Assignee","Due Date","CMS LINK (url)","Genre of Content (labels)","Type of Content (drop down)","Priority","Retime frequency (drop down)","Wordcount (drop down)","Date Created"
"86bw9e4pj","The Finals performance guide - how to improve FPS","[Harry Redman]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;db5cd2a3-d224-4db9-a708-73adf32c087f","[The Finals]","","none","","","Monday, October 30th 2023, 12:28:17 pm +00:00"
"86bw9e5ae","The Finals Rank guide","[Harry Redman]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;c55594be-fb6a-43d5-9f4e-7d32eb05bafe","[The Finals]","","none","","","Monday, October 30th 2023, 12:28:54 pm +00:00"
"86bw9e4wq","The Finals best loadouts","[Harry Redman]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;a8791567-ac6c-496b-af8e-a1f41a250218","[The Finals]","","none","","","Monday, October 30th 2023, 12:28:27 pm +00:00"
"86bwqu5du","Best The Finals controller settings","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;2f7287ce-1068-4f57-a96d-06da65221f9e","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:04 pm +00:00"
"86bwqu5mh","Does The Finals have aim assist?","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;61906886-e9c7-4530-99aa-4201b1be3a6e","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:30 pm +00:00"
"86bwttd0b","The Finals system requirements","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;fbc715d8-c771-4182-ac43-4c5b21f72e05","[The Finals]","","none","","","Tuesday, December 19th 2023, 8:58:14 am +00:00"
"86bwqu4x0","How to fix stuttering in The Finals","[Damiano Gerli]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;3995326d-c6a0-4ee0-9a81-c37b33540b2b","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:55:04 pm +00:00"
"86bwqu5t3","The Finals Season 1 battle pass - all rewards","[Damiano Gerli]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;d70f88b0-d8a5-433f-9388-fc2e059a8380","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:51 pm +00:00"
"86bwqu5fj","Does The Finals have SBMM?","[Damiano Gerli]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;0b2744db-8cd7-4efe-913e-88f8f3cfef9c","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:13 pm +00:00"
"86bwqu51m","How to change crosshair in The Finals","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;4e232140-1a83-43bb-99eb-92ed04473792","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:55:37 pm +00:00"
"86bwqu52x","Best The Finals graphics settings","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;eae5bd7e-c321-4076-81e1-2928d5cc6400","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:55:48 pm +00:00"
"86bwx68tv","The Finals best Heavy gun","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;ba7b90ab-9923-42e9-b19d-52269bd5b1cf","[The Finals]","Guide","none","","","Tuesday, January 2nd 2024, 11:05:29 am +00:00"
"86bwybb3x","The Finals career rewards","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;6587fbcb-f4be-4282-8e48-b27bedbc5605","[The Finals]","","none","","","Thursday, January 4th 2024, 11:24:39 am +00:00"
"86bwybbv4","How to check stats in The Finals","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;05665bfe-2a05-442f-a953-db3cad0e9aa4","[The Finals]","","none","","","Thursday, January 4th 2024, 11:25:22 am +00:00"
"86bwxy5fh","Does The Finals have cross progression?","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;ddd0529c-abbe-4a45-88e9-4b7d84d729b6","[The Finals]","Guide","none","","","Wednesday, January 3rd 2024, 5:20:51 pm +00:00"
"86bwqu55m","The Finals Twitch drops","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;cd8b222c-d236-4ba9-9ae9-befd0b4d915a","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:56:10 pm +00:00"
