Campaign report
27 January 2026 - 23 February 2026
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimisation score,Clicks,Impr.,CTR,Cost,Avg. CPC,Conversions,Cost / conv.,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Original conv. value
Enabled,Fruit-Veg-Boxes-Shopping-SMP,25.00, --,Daily,GBP,Eligible (Limited),limited by budget; unknown,57.35,603,"31,193",1.93%,798.88,1.32,49.00,16.30,Maximise Conversion Value (Target ROAS),5.62%,"1,286.58",1.61,"1,286.58"
Enabled,Office Fruit Campaign,10.00, --,Daily,GBP,Eligible,unknown,48.90,264,"9,392",2.81%,365.22,1.38,25.00,14.61,Maximise Conversion Value,5.02%,841.23,2.30,841.23
Total: Campaigns, --, --, --, --,GBP, --,, --,867,"40,585",2.14%,1164.09,1.34,74.00,15.73, --,5.40%,"2,127.81",1.83,"2,127.81"
Total: Account,,,,,GBP,,,,867,"40,585",2.14%,1164.09,1.34,74.00,15.73,,5.40%,"2,127.81",1.83,"2,127.81"
Total: Performance Max,,,,,GBP,,,,867,"40,585",2.14%,1164.09,1.34,74.00,15.73,,5.40%,"2,127.81",1.83,"2,127.81"
Total: Search,,,,,GBP,,,,0,0, --,0.00,0,0.00,0.00,,0.00%,0.00,0.00,0.00
Total: Display,,,,,GBP,,,,0,0, --,0.00,0,0.00,0.00,,0.00%,0.00,0.00,0.00
