# ----------------------------------------
# workargyll.com - GA4
# Events: Event name-Tab 3
# 20251213-20260312
# ----------------------------------------

Page path + query string,Event count
/office-space-holborn/?_its=eF6dUl1vmzAU_S885GlpwIDBkdDEEqaxLpHaSav2hPyFsQKYGROWVOW3z5BVqtS3-sHyuefY9_rc--ycJXO2DqSIhn5M1oigcB1AGq3jOIjWPnFBjOKIghA6n5zeYMOtXNdm8iIYA2RZMNW4ZRMofDd0XVB0HS1cxiMPxhRgVLphFAbEjzBBDCCPcQ-WU2cKQWvJpizNcf6gyK465Jru_tT5JT-Jw6-v5_64e_Sv3l_5lKXZ7_Rnmmbi_h6c98WXMbPFYGO0JIORqnW2zw5TDZb25IzjeDcqfcJaXOr6jqrGijUvudZcW74ypuu3m8173UaVpaR83XfY7pWqidLt5vNgmqJXg6Y8EUqJmq_mSMOZHJqEdnSBFDcdlqJNgAdDHwZBhMCNUK3hrUkWYLhukpUgGkuWuOm89uoblPsfor_yfBifrvq68_jRHI_u93QlMHtNHS7gNY29bhMFCEHoBv5q8TL5uJe0wm3L69zOwq2LtteaHhSbu20Ldxb8yEsLbx5Mb_45WbobSC37anH4ppif_V-tjb2RW-LEL9b6efKcl5d_GbrR3A,3
/office-space-london/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGQ1AGfepzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafCwnwAPDeqOWGta8NXgTDsAuQQBFv9yMmMLTLYBhByv1FOoXUeV7_ROvJV_w_aem_gi7ws23tyjcM3LqdCb0_Lw,3
/our-brand/,3
/virtual-office-holborn/,3
/?li_fat_id=1271d9c0-677d-4438-8e68-7aff143a9884&li_ed=CwEAAAGcla7Jcky_EFezCfzr0Gyk0JuxWJlYrEcE_btEy6--VKV2zCOLDHu87bGAZw-Sz_p9A46yDKU8Z1kDTfXgiYLTIMk1YCTqHorvQ1wDeK-z2qU1G5ZEFDrlZg,2
/argyll-menus/,2
/flexible-workspaces/,2
/legal-cookies-policy/,2
/london-guides/,2
/london-guides/best-serviced-offices-london/,2
/media/,2
/meeting-rooms-covent-garden/,2
/meeting-rooms/bruton-room/,2
/meeting-rooms/langham-room/,2
/meeting-rooms/meeting-room-2/,2
/meeting-rooms/meeting-room/,2
/meeting-rooms/michelin-room/,2
/meeting-rooms/the-fleming/,2
/meeting-rooms/the-howe-room/,2
/meeting-rooms/the-mall/,2
/meeting-rooms/victoria/,2
/office-life/benefits-of-working-in-the-office/,2
/office-space-chelsea/?_its=eF5NkFFrgzAUhf9LnueqMUbTN9sKc0NGNxh0L5LEGKVqJMZKKc1vX1xf-ng4H-eec2_g0lZgC5iPGadx4iERBR6KEuKRkAgvDlgdJFUEaRKCFzAZaoTDdWdsEGMcJxCRwHZ0qCwsQz_yfViOIy9rSAnicVJBX2BEQlpTDDkPGMcUsprb0ZSSd21lszSn-VGxfVPkCbqM198DPx-Ln_fzG9zvoFlk8Zml2Sn9TtNMfsi-PpS7JXNlqDG6ZbNp1QC2N1CpnrbDumW-ToNYpleueodpUQuthXZOY8w4bTebZ2LjEN7QYRBd7j7x2OCWal6oat06mzXF6S9ROymVkp2wMMBRiBGKCbTOHmfWtVPzf-VBrLG0H2kr105PuDPO4roovf4d3O9_l0F40A,2
/office-space-city-of-london/?msclkid=2a8a0501619e16b6be076c89c8994910,2
/office-space-city-of-london/?msclkid=5427ed627f011c0bd36d84fdb27f671b,2
/office-space-city-of-london/?msclkid=6a518f1d80e3169ecb22e69011f7a740,2
/office-space-city-of-london/?msclkid=77d23b5370421967e4be5207da12447b,2
/office-space-city-of-london/?msclkid=7cb55793ed8a17e7e93b3ecb832d0178,2
/office-space-city-of-london/?msclkid=8152317a568c166b357b5829025f21b3,2
/office-space-city-of-london/?msclkid=b5cc1e11ee7e1bcf2485779c778be4ac,2
/office-space-holborn/?_its=eF59kMtuwjAQRf_F6wYck5fZOTSLVI0ErVTUleXYTmIItps4dIHIt9fQqquqyxnde0ZzLuCsBFiDNG7qDIZhkDQoCSKMcVA3KQ44QyhkcRNlMgYPYHTMSR8fejeHaYIjFOIMzj3TYkZ0BWMIEbWW0zSK0zpJasg5En7IhJRhFiUICoxXWTRbR1veKzEXpGTlztSbriqPZl-d6Yc5ttXbqbPbTQ7Pq5y-FKR4J6-EFO3zJOgjzT-LvwHWqUNY7jc3wFjmu7yDutj1QUHID-DpEG_vAP8Nc25Q9eSU0WB9AXaqezV2cvAPtsa0vfQZYU5M6d8NE-OiXQjjo9Jf58eFls7HBtnIYbhXO-fsuF4u_yksfYN3TGvZl97-tzdvd-CVETe_XiGbnAHX6xcxW4dB,2
/office-space-holborn/?_its=eF6dUk1v3CAQ_S8c9lRn8QfGrGRVTmKpq-5Gbaqk6snCgDFd2zgY19lG8W8v9jZSpN7KAfHmPZjhzbyAX4qDHUgwxiEk0EMiwV5EOffKxEeeDwkNIhQ5koIPYLDUCic3jZ19HJMgwgFGc0M7PgdFCBGEQdH3rIBcYD9OWEBJBRFGURliWhIeEJ8LP67m3haSNYrPeban-6-6vKmPe9yH07Pn_TzJ4-Ph7nR3cx9OX6RmeZb_yL5lWS4P5VNxW1xPuSuGWmtUOVqlO7B7AVy3VLkTmKbpatLmRI08N80V060TG1EJY4RxfG1tP-y22391W11Viglv6Knba92U2nTbj6Nti0GPholUai0bsVkireBqbFPWsxUy2vZUyS4N_BiFcRRhElwI3VnR2XQFVpg23cjSUMVTmC3rVn-KVXb2aNI9MFgXn_Hj85M8XH-PH35vJOVvqdEK3tK46y5RREgcwyjcrF6m_-8lq2nXiWbvZuHSRddrw46aL912hYMV34vKwYsH87t_zo7ux7JRQ706fFEsz_6t1sXeyR1xEmdn_TJ54PX1D4D80Lg,2
/office-space-holborn/?_its=eF6dUk1vnDAQ_S8-7Klk-bLBK6GKzdJ2U220SaVWOSF_gruAqTFFURR-ew3bSJF6qw-W37xnz_jNvIDfioMdoEEoU4mZBxGDXuwj5uEYES-NEhpDibDEFHwAgyVWOLlp7BwkSQgTjON0bkjH57CMfOj7Ydn3rPS5SAKUspBg6cMExjRKCMU8xAEXAZJzb8uKNYrPRX4kxwdNb-vTMTofnqCHist0-j6oh8_53u_p9OmuyIun_FueF9XdDyEP5X4qXDHEWqPoaJXuwO4FcN0S5U5gmqabSZsLMdVz09ww3TqxEVIYI4zja2v7Ybfd_qvbaikVE97QE7fXuqHadNuPo23LQY-GiazSumrEZom0gquxzVjPVshI2xNVdVkYIBihOE5weCV0Z0VnsxVYYdpsU1FDFM_8fFkH_QWp_a8ouY3S9lwKLu8fv5qfQ5Kfz5uK8LfUcAVvadx1lyjGGCE_jjarl9n_e8lq0nWiObpZuHbR9dqwk-ZLt13hYMWPQjp49WB-98_Z0f1IGzXUq8NXxfLs32pd7J3cERfx7KxfJg-8vv4BpP3P-A,2
