Group,User,Clicks
Racing Games,gfinityplc,22426
Gfinity-Default,gfinityplc,14532
RealSport101,gfinityplc,8574
Stealth-General,gfinityplc,6902
MTG Rocks,gfinityplc,3065
RealGaming-Spain,gfinityplc,524
Gfin-best-mon-cnsl,gfinityplc,336
SiegeGG,gfinityplc,181
racing-games-youtube,gfinityplc,172
Gfinity-Bests-PC,gfinityplc,77
