# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Forest Garden Ltd.
# Property: BuyShedsDirect (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251231
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue,Engagement rate,Bounce rate,Total users,Sessions,Average session duration
/blog/post/how-to-lay-slab-base-for-sheds,12688,9153,1.3862121708729378,109.99814268545832,41464,0,0,0.62001524003048,0.3799847599695199,9334,11811,170.2255793236813
/blog/post/filling-large-planters-what-to-add-for-drainage,10182,8402,1.2118543203999048,85.70328493215901,35341,0,0,0.5548274802907751,0.44517251970922495,8429,9767,138.54152326384764
/blog/post/how-to-build-a-shed-base-on-uneven-ground,6413,5253,1.2208261945554921,71.89110984199505,22216,0,0,0.6838807991872672,0.3161192008127328,5338,5906,127.46107533355908
/blog/post/how-to-build-a-shed-base-with-concrete-blocks,6328,5121,1.2356961530950985,72.29505955867995,21755,0,0,0.6450665284257819,0.35493347157421806,5164,5787,129.12216784845344
/blog/post/running-power-adding-electricity-to-a-shed,5563,4679,1.1889292583885445,94.38448386407352,19832,0,0,0.681088229737389,0.31891177026261097,4719,5293,143.02227460627245
/blog/post/how-to-guide-insulating-a-shed-tips,4333,3475,1.246906474820144,111.76892086330935,14660,0,0,0.583855421686747,0.416144578313253,3526,4150,146.8226490493976
/blog/post/care-and-maintenance-of-pressure-treated-wood,3984,3109,1.2814409778063687,105.91862335155999,13482,0,0,0.6148344370860928,0.3851655629139073,3149,3775,152.71708057165563
/blog/post/garden-fence-law-fence-height-regulations,3798,3211,1.1828090937402678,92.75210214886329,13489,0,0,0.6352026651860078,0.36479733481399224,3226,3602,142.77964199028318
/blog/post/clever-storage-ideas-for-small-sheds,3707,2987,1.241044526280549,68.56511550050217,12945,0,0,0.7023912417170844,0.2976087582829156,3047,3471,107.65894785479689
/blog/post/greenhouse-base-ideas-and-foundation-options,3383,2690,1.2576208178438661,90.8646840148699,11888,0,0,0.7095600396956666,0.29043996030433344,2697,3023,130.2650278676811
/blog/post/creative-outdoor-bar-ideas-garden-bar-seating,2796,2114,1.3226111636707663,38.182119205298015,9220,0,0,0.6992353440951572,0.3007646559048428,2129,2354,102.44272357604078
/blog/post/how-to-insulate-a-garden-log-cabin,2721,2165,1.256812933025404,89.67251732101617,9484,0,0,0.6741701640595192,0.3258298359404807,2180,2621,131.8198363693247
/blog/post/how-to-build-a-shed-base,2584,2057,1.256198347107438,115.606222654351,8697,0,0,0.6425992779783394,0.3574007220216607,2097,2493,179.00624792097872
/blog/post/garden-trellis-guide-6-best-climbing-plants-for-trellis,2442,2004,1.218562874251497,63.01497005988024,8551,0,0,0.6006006006006006,0.3993993993993994,2019,2331,131.72421649935652
/blog/post/what-type-of-shed-should-i-buy,2430,1850,1.3135135135135134,113.37405405405406,7894,0,0,0.7438966012446147,0.25610339875538535,1863,2089,167.66928170751555
/blog/post/plastic-sheds-vs-wooden-sheds,2323,1835,1.2659400544959127,100.30136239782016,7602,0,0,0.652518656716418,0.3474813432835821,1877,2144,146.27168564225747
/blog/post/how-to-store-bicycles-outside-garage-shed-and-without,2301,1692,1.3599290780141844,49.42553191489362,7616,0,0,0.7329729729729729,0.267027027027027,1701,1850,111.32933386864865
/blog/post/how-to-install-a-shed-base-on-grass,2221,1775,1.2512676056338028,79.65802816901409,7378,0,0,0.6613131790269249,0.3386868209730751,1801,2117,134.69950493859236
