Country,Clicks,Impressions,CTR,Position
British Virgin Islands,0,65,0%,7.75
St. Vincent & Grenadines,0,64,0%,6.33
Benin,0,64,0%,19.2
Afghanistan,0,63,0%,11.79
Lesotho,0,60,0%,4.5
Bhutan,0,60,0%,8.4
Guam,0,58,0%,6.53
Andorra,0,57,0%,11.05
Cuba,0,51,0%,6.53
Haiti,0,46,0%,14.15
Sint Maarten,0,45,0%,10.56
Mauritania,0,44,0%,7.84
Gambia,0,43,0%,7.35
Yemen,0,39,0%,8.62
Anguilla,0,38,0%,6.34
Gibraltar,0,38,0%,7.47
Dominica,0,38,0%,11.29
Mali,0,36,0%,10
Liberia,0,32,0%,3.88
Macau,0,32,0%,5.44
Sudan,0,32,0%,8.69
South Sudan,0,29,0%,5.41
Solomon Islands,0,28,0%,9.93
Faroe Islands,0,25,0%,5.92
Turkmenistan,0,23,0%,5.7
Guadeloupe,0,19,0%,9.05
Samoa,0,17,0%,4.94
Guinea,0,17,0%,8.24
Vanuatu,0,17,0%,9.35
Western Sahara,0,17,0%,11.12
Caribbean Netherlands,0,15,0%,9
Burundi,0,15,0%,10.13
Cook Islands,0,15,0%,12.67
St. Helena,0,13,0%,8.85
Micronesia,0,12,0%,3.5
Liechtenstein,0,11,0%,4.36
French Polynesia,0,10,0%,6.8
New Caledonia,0,10,0%,9.3
French Guiana,0,10,0%,12.3
Djibouti,0,10,0%,12.8
American Samoa,0,9,0%,1.78
Northern Mariana Islands,0,8,0%,4.5
Nauru,0,7,0%,2.71
St. Martin,0,7,0%,5.71
Chad,0,7,0%,7.57
Equatorial Guinea,0,7,0%,7.86
Niger,0,7,0%,8.86
Marshall Islands,0,6,0%,4.5
Timor-Leste,0,6,0%,5.33
Kiribati,0,6,0%,5.67
British Indian Ocean Territory,0,4,0%,4.25
Åland Islands,0,4,0%,4.75
Tonga,0,4,0%,5
Montserrat,0,3,0%,2.67
Central African Republic,0,3,0%,6.33
São Tomé & Príncipe,0,3,0%,8.33
Guinea-Bissau,0,3,0%,12
San Marino,0,3,0%,16.67
Greenland,0,2,0%,4
Comoros,0,2,0%,4.5
St. Barthélemy,0,2,0%,5.5
Eritrea,0,1,0%,5
Svalbard & Jan Mayen,0,1,0%,6
Mayotte,0,1,0%,9
